,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,beta,bookValuePerShare,currentRatio,divGrowthRate3Year,dividendAmount,dividendDate,dividendPayAmount,dividendPayDate,dividendYield,epsChange,epsChangePercentTTM,epsChangeYear,epsTTM,grossMarginMRQ,grossMarginTTM,high52,interestCoverage,low52,ltDebtToEquity,marketCap,marketCapFloat,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,pbRatio,pcfRatio,peRatio,pegRatio,prRatio,quickRatio,returnOnAssets,returnOnEquity,returnOnInvestment,revChangeIn,revChangeTTM,revChangeYear,sharesOutstanding,shortIntDayToCover,shortIntToFloat,symbol,totalDebtToCapital,totalDebtToEquity,vol10DayAvg,vol1DayAvg,vol3MonthAvg
AFL,Aflac,reports,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,0000004977,1955,0.98938,18.36047,0.0,0.0,1.32,2021-05-18 00:00:00.000,0.33,2021-06-01 00:00:00.000,2.36,0.0,95.84797,140.1908,7.78057,0.0,0.0,57.35,31.87097,33.365,24.76716,38054.57,617.9277,22.03101,24.09206,28.3694,23.15568,1.1872,0.0,7.19613,0.075079,1.66512,0.0,3.55486,18.82232,0.0,0.0,4.63328,0.0,679667234.0,0.0,0.0,AFL,19.8507,24.76716,2941549.0,2941550.0,72804620.0
A,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,0001090872,1999,1.00907,4.87643,2.06461,0.0,0.776,2021-07-02 00:00:00.000,0.194,2021-07-28 00:00:00.000,0.59,0.0,7.5345,48.08624,2.60512,54.13437,53.34539,137.8271,18.52632,80.46,45.48293,40311.48,303.8387,18.60465,14.64738,21.18863,17.34177,8.39956,36.15379,50.78461,6.740276,7.2896,1.61707,8.4485,16.78409,10.38728,4.38301,5.61497,0.0,304697515.0,0.0,0.0,A,34.21881,52.01915,1147316.0,1147320.0,33160160.0
APD,Air Products & Chemicals,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,0000002969,1940,0.77212,10.18023,2.90535,0.0,6.0,2021-03-31 00:00:00.000,1.5,2021-05-10 00:00:00.000,2.01,0.0,0.0,0.0,8.44281,30.23581,32.09933,327.89,0.0,229.17,55.91536,65993.7,220.6868,19.06875,20.57004,21.92246,23.61134,5.18566,20.88805,35.31881,0.0,7.12483,2.76274,8.34558,15.58712,9.50858,5.3385,3.16656,0.0,221314258.0,0.0,0.0,APD,37.8652,62.89702,837356.0,837360.0,19868150.0
AKAM,Akamai Technologies,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,0001086222,1998,0.40846,8.20938,3.02239,0.0,0.0, ,0.0, ,0.0,0.0,18.33176,24.9023,3.55839,63.60697,64.26805,124.91,14.29873,92.64,44.51903,18504.45,160.4198,18.55839,18.39691,21.64024,21.015,4.28877,16.87689,31.90488,1.740416,5.64753,0.0,8.16457,14.75191,8.98305,0.0,11.01656,0.0,162991685.0,0.0,0.0,AKAM,30.80496,44.51903,1369200.0,1369200.0,37813460.0
ALK,Alaska Air Group,reports,Industrials,Airlines,"Seattle, Washington",2016-05-13,0000766421,1985,1.81603,4.54513,0.89962,0.0,0.0, ,0.375,2020-03-05 00:00:00.000,0.0,0.0,0.0,44.20716,0.0,27.35257,31.46315,74.25,0.0,30.21,80.86957,8473.476,123.9839,0.0,0.0,0.0,0.0,2.94636,0.0,0.0,0.0,3.10725,0.88765,0.0,0.0,0.0,0.0,0.0,0.0,124481793.0,0.0,0.0,ALK,55.3987,124.2087,1333744.0,1333740.0,35797580.0
ALB,Albemarle Corporation,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,0000915913,1994,1.55829,6.61551,2.10793,0.0,1.56,2021-06-10 00:00:00.000,0.39,2021-07-01 00:00:00.000,0.98,0.0,0.0,0.0,3.35642,31.79668,31.57533,188.35,9.48644,66.87,35.32712,18626.47,116.3177,12.20163,10.04083,14.97231,15.71222,3.24132,33.03737,47.54471,0.0,5.78578,1.38852,3.21036,7.56904,3.66661,0.0,0.0,0.0,116721826.0,0.0,0.0,ALB,25.46842,35.33784,873135.0,873140.0,25487480.0
ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",2017-03-20,0001035443,1994,0.74539,9.37974,0.0,0.0,4.36,2021-03-30 00:00:00.000,1.09,2021-04-15 00:00:00.000,2.5,0.0,169.913,0.0,5.75692,71.26429,72.00778,181.77,3.98082,144.86,65.74789,25754.07,145.8768,5.32105,42.69008,11.39317,19.13919,1.95831,16.88186,30.32872,0.178496,13.3748,0.0,3.65863,6.71047,4.16317,3.47818,19.42441,0.0,147503288.0,0.0,0.0,ARE,36.62034,65.74789,562805.0,562810.0,17863950.0
ALXN,Alexion Pharmaceuticals,reports,Health Care,Pharmaceuticals,"Boston, Massachusetts",2012-05-25,0000899866,1992,1.27312,7.71884,4.52433,0.0,0.0, ,0.0, ,0.0,0.0,0.0,14.06022,3.04618,92.33731,90.94161,179.12,23.95015,99.91,19.23845,39279.54,220.2801,29.89306,8.54414,38.87565,9.15102,3.16171,46.1732,58.34192,0.0,6.27308,3.96066,2.90771,5.64297,3.12515,2.80814,18.24379,0.0,221019230.0,0.0,0.0,ALXN,16.92174,20.39173,2033736.0,2033740.0,51475840.0
ALGN,Align Technology,reports,Health Care,Health Care Supplies,"San Jose, California",2017-06-19,0001097149,1997,1.68938,30.91061,1.51779,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,5.75132,75.67277,72.66191,647.2,0.0,232.23,0.0,46829.07,73.78991,22.39411,16.27038,25.19594,19.2737,13.79923,84.13899,102.8894,0.0,16.63112,1.40971,10.14172,14.66832,13.61446,7.21984,16.89485,0.0,79136575.0,0.0,0.0,ALGN,0.0,0.0,564403.0,564400.0,13944720.0
ALLE,Allegion,reports,Industrials,Building Products,"Dublin, Ireland",2013-12-02,0001579241,1908,1.19185,102.5536,2.07278,0.0,1.44,2021-06-15 00:00:00.000,0.36,2021-06-30 00:00:00.000,1.05,0.0,33.61678,27503.96,4.57258,42.83451,43.36923,144.76,10.0,92.92,196.4821,12372.89,89.21828,15.58404,15.41157,18.91113,18.46687,17.01606,24.51048,30.07274,0.894575,4.51648,1.49941,14.7995,63.01718,17.82375,0.0,0.0,0.0,89978097.0,0.0,0.0,ALLE,66.1715,196.4958,575101.0,575100.0,15889470.0
LNT,Alliant Energy,reports,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,0000352541,1917,0.32971,6.38422,0.53622,0.0,1.61,2021-04-29 00:00:00.000,0.4025,2021-05-17 00:00:00.000,2.77,0.0,0.0,0.0,2.46043,41.10218,41.75071,58.25,3.96,45.96,108.4646,14535.32,249.8963,19.31188,18.40287,21.97558,22.05463,2.52087,11.64223,23.61782,0.0,4.27371,0.39134,3.63125,10.92258,3.98475,10.28152,0.0,0.0,250134552.0,0.0,0.0,LNT,54.39187,119.2591,1601189.0,1601190.0,32537000.0
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13,0000899051,1931,0.83493,13.59155,0.0,0.0,3.24,2021-03-03 00:00:00.000,0.81,2021-04-01 00:00:00.000,2.36,0.0,85.41692,217.3408,23.75721,0.0,0.0,139.88,54.81395,84.97,29.81468,41138.12,297.9951,19.32375,15.75923,24.35146,19.7812,1.67264,5.06752,5.78477,0.067724,0.8722,0.0,6.0451,31.30283,0.0,3.60293,8.2211,0.0,299338684.0,0.0,0.0,ALL,22.98494,29.81468,2377017.0,2377020.0,45332150.0
GOOGL,Alphabet Inc. (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,0001652044,1998,1.02159,13.48898,3.1042,0.0,0.0, ,0.0, ,0.0,0.0,59.557,166.2084,79.07423,56.42514,54.3156,2431.38,0.0,1351.65,6.03748,1553936.0,604.2584,32.41494,26.11474,29.7158,25.26108,6.69343,24.02461,29.01236,0.487136,7.90075,3.08818,17.1068,23.68749,20.34758,0.0,18.00188,0.0,300746844.0,0.0,0.0,GOOGL,6.11331,6.51137,1585804.0,1585800.0,34973770.0
GOOG,Alphabet Inc. (Class C),reports,Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,0001652044,1998,1.02159,13.48898,3.1042,0.0,0.0, ,0.0, ,0.0,0.0,59.557,166.2084,79.07423,56.42514,54.3156,2452.378,0.0,1347.01,6.03748,1553936.0,604.2584,32.41494,26.11474,29.7158,25.26108,6.69343,24.02461,29.01236,0.487136,7.90075,3.08818,17.1068,23.68749,20.34758,0.0,18.00188,0.0,323580001.0,0.0,0.0,GOOG,6.11331,6.51137,1247554.0,1585800.0,34973770.0
MO,Altria Group Inc,reports,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,0000764180,1985,0.63622,0.78124,0.80258,0.0,3.44,2021-03-24 00:00:00.000,0.86,2021-04-30 00:00:00.000,6.88,0.0,645.9869,0.0,2.34212,54.22465,52.23384,52.59,12.60909,35.83,967.3876,92531.9,1848.881,23.54208,16.83314,35.02319,31.14983,31.78471,20.10252,21.34818,0.033047,3.58234,0.60786,8.57644,92.06853,10.87245,0.0,0.0,0.0,1850637974.0,0.0,0.0,MO,90.72291,1018.881,6411255.0,6411260.0,221917250.0
AMZN,Amazon.com Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,0001018724,1994,1.15977,45.56149,1.05203,0.0,0.0, ,0.0, ,0.0,0.0,151.0124,215.4391,52.54691,42.49525,40.00596,3554.0,30.15306,2330.0,65.81978,1615389.0,435.2209,7.47526,6.39157,8.16915,6.62682,15.62478,29.81193,60.95658,0.403653,3.85415,0.84537,9.8432,31.91492,15.34307,0.0,41.4675,0.0,504323736.0,0.0,0.0,AMZN,40.09775,66.93864,3804679.0,3804680.0,79097840.0
AMCR,Amcor plc,reports,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",2019-06-07,0001748790,2019 (1860),0.0,18.93324,1.29973,0.0,0.47,2021-05-25 00:00:00.000,0.1175,2021-06-15 00:00:00.000,3.92,0.0,63.48166,51.32238,0.55144,21.26598,21.56625,12.76,10.57576,9.14,139.8106,18470.68,1538.441,8.41908,6.95076,11.63081,10.08709,3.96446,12.73313,21.72494,0.342224,1.4718,0.78856,5.28458,18.36874,6.82287,3.3516,5.21475,0.0,1541792948.0,0.0,0.0,AMCR,58.39597,142.1132,5229887.0,5229890.0,133235530.0
AEE,Ameren Corp,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,0001002910,1902,0.26558,4.26829,0.7902,0.0,2.2,2021-06-08 00:00:00.000,0.55,2021-06-30 00:00:00.000,2.58,0.0,20.89472,54.72496,3.82419,46.2963,50.03378,86.9,3.39785,67.14,126.0057,21750.08,254.4171,15.00639,16.28378,20.1788,23.22635,2.37709,10.42669,22.25569,1.065135,3.674,0.58778,3.10662,11.1182,3.37559,17.92169,2.17466,0.0,255552619.0,0.0,0.0,AEE,57.25082,135.8111,1452398.0,1452400.0,30889770.0
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,0000006201,1934,1.8473,0.0,1.04362,0.0,0.0, ,0.1,2020-02-19 00:00:00.000,0.0,0.0,0.0,62.58209,0.0,41.79142,35.84288,26.09,0.0,9.63,0.0,14476.02,635.1072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12821,0.94796,0.0,0.0,0.0,0.0,0.0,0.0,641383123.0,0.0,0.0,AAL,125.0268,0.0,35280403.0,35280400.0,893982240.0
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,0000004904,1906,0.2576,2.6243,0.41667,0.0,2.96,2021-05-07 00:00:00.000,0.74,2021-06-10 00:00:00.000,3.42,0.0,20.42561,15.27437,4.48412,0.0,32.96837,94.21,3.15537,74.8,143.6877,43303.37,499.6656,12.85417,13.8376,18.92738,19.71512,2.05723,8.82086,19.32375,0.946055,2.80243,0.29222,2.66096,10.93809,3.09339,18.57032,1.31129,0.0,499750400.0,0.0,0.0,AEP,62.4567,168.3148,3345775.0,3345770.0,66598380.0
AXP,American Express,reports,Financials,Consumer Finance,"New York, New York",1976-06-30,0000004962,1850,1.28702,6.00101,0.0,0.0,1.72,2021-07-01 00:00:00.000,0.43,2021-08-10 00:00:00.000,1.1,0.0,0.0,564.9285,6.09471,70.71102,72.65116,160.69,0.0,88.209,171.8639,126014.1,802.1854,24.29876,14.05653,32.53968,19.20937,5.15222,19.18023,25.73871,0.0,3.54052,0.0,2.63922,21.59498,5.25705,0.0,0.0,0.0,803302859.0,0.0,0.0,AXP,84.45106,543.1306,2847924.0,2847920.0,67133650.0
AIG,American International Group,reports,Financials,Property & Casualty Insurance,"New York, New York",1980-03-31,0000005272,1919,1.36382,0.50877,0.0,0.0,1.28,2021-06-14 00:00:00.000,0.32,2021-06-29 00:00:00.000,2.49,0.0,0.0,122.7592,0.0,0.0,0.0,52.7,18.59357,25.57,56.87391,44031.2,857.298,27.18971,0.0,35.0768,0.0,0.70899,557.3569,0.0,0.0,1.0065,0.0,0.0,0.0,0.0,49.37991,0.0,0.0,858140647.0,0.0,0.0,AIG,35.93259,56.87391,4596860.0,4596860.0,95156600.0
AMT,American Tower Corp.,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19,0001053507,1995,0.2262,0.0,0.72001,0.0,4.96,2021-04-12 00:00:00.000,1.24,2021-04-29 00:00:00.000,1.98,0.0,0.70654,55.26191,4.30454,73.39356,72.59014,272.2,8.74232,197.5,720.7679,111401.7,444.0001,30.22006,23.45831,37.20176,35.53717,28.62852,19.96697,58.0666,82.184448,13.57416,0.0,4.38884,51.09474,5.01742,1.69611,5.75902,0.0,454696083.0,0.0,0.0,AMT,86.56438,755.1836,1737281.0,1737280.0,47208600.0
AWK,American Water Works,reports,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,0001410636,1886,0.21194,4.68093,0.59812,0.0,2.41,2021-05-10 00:00:00.000,0.6025,2021-06-01 00:00:00.000,1.55,0.0,12.7662,6.66929,3.93748,0.0,0.0,172.56,2.33673,118.05,141.6983,28149.5,180.5794,14.97748,18.79089,25.78829,32.3999,4.27606,21.10158,39.39576,3.085943,7.36705,0.57691,2.98725,11.19601,3.35099,0.0,4.9437,0.0,181469196.0,0.0,0.0,AWK,62.02919,163.3602,887485.0,887490.0,23812810.0
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,0000820027,1894,1.69661,3.55355,0.0,0.0,4.52,2021-05-07 00:00:00.000,1.13,2021-05-21 00:00:00.000,1.78,0.0,0.0,0.0,0.0,60.08942,51.39578,269.29,20.83333,129.41,100.0545,29471.13,115.6441,13.02534,0.0,15.94635,1.06617,5.36029,190.1364,0.0,0.0,2.39856,0.0,0.0,0.0,0.0,5.20539,0.0,0.0,115904879.0,0.0,0.0,AMP,80.91306,423.9186,606532.0,606530.0,15274780.0
ABC,AmerisourceBergen,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2001-08-30,0001140859,1985,0.53733,0.0,1.07494,0.0,1.76,2021-05-14 00:00:00.000,0.44,2021-06-01 00:00:00.000,1.47,0.0,0.0,0.0,0.0,3.11953,2.83145,125.86,20.34707,90.59,0.0,24663.66,148.1177,0.88295,0.0,1.27018,0.0,0.0,0.0,0.0,0.0,0.12565,0.68233,0.0,0.0,0.0,0.0,5.43772,0.0,205410717.0,0.0,0.0,ABC,101.6882,0.0,1224937.0,1224940.0,23323650.0
AME,Ametek,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,0001037868,1930,1.3404,13.30679,2.2605,0.0,0.8,2021-06-11 00:00:00.000,0.2,2021-06-30 00:00:00.000,0.6,0.0,0.0,0.0,3.50228,35.06912,34.96814,139.07,15.4824,84.27,36.87311,30677.61,229.938,18.03286,17.8115,24.12889,23.91954,5.01207,28.80849,37.93243,0.0,6.73707,1.72968,7.65804,14.17094,8.73715,1.40081,0.0,0.0,230919176.0,0.0,0.0,AME,27.75601,38.41981,1019629.0,1019630.0,21904660.0
AMGN,Amgen Inc.,reports,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,0000318154,1980,0.70415,0.0,1.65506,0.0,7.04,2021-05-14 00:00:00.000,1.76,2021-06-08 00:00:00.000,2.8,0.0,0.0,0.0,12.07531,74.75004,75.61596,276.69,7.82721,210.28,333.5012,144218.8,573.455,27.89358,28.1553,36.07863,35.41965,15.47097,13.56715,20.78704,0.0,5.73116,1.34292,11.40828,75.29624,14.23949,0.0,4.99875,0.0,574553986.0,0.0,0.0,AMGN,77.78624,350.1714,2509138.0,2509140.0,59508360.0
APH,Amphenol Corp,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,0000820313,1932,1.24888,11.34111,2.42816,0.0,0.58,2021-06-21 00:00:00.000,0.145,2021-07-14 00:00:00.000,0.87,0.0,13.64819,33.72158,2.08749,30.60452,31.07088,69.62,16.25175,44.6,75.26643,39651.8,594.4989,13.95818,14.28571,19.55324,19.59952,7.28015,24.55676,31.78458,2.328849,4.35065,1.81389,10.32874,26.21969,12.78194,0.0,12.11849,0.0,597615720.0,0.0,0.0,APH,45.644,84.90569,2320320.0,2320320.0,62400690.0
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",1999-10-12,0000006281,1965,1.24762,14.84116,1.04537,0.0,2.76,2021-05-27 00:00:00.000,0.69,2021-06-08 00:00:00.000,1.73,0.0,40.5168,57.50804,4.18993,68.41412,67.35683,164.4,12.69406,109.52,31.42568,58776.26,367.6393,25.45463,25.16189,31.28011,30.05897,4.83075,24.86501,38.03405,0.938723,9.47653,0.81445,7.26896,13.13762,8.09021,6.60582,11.87429,0.0,368893742.0,0.0,0.0,ADI,29.73145,42.31119,4829604.0,4829600.0,73597560.0
ANSS,"ANSYS, Inc.",reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19,0001013462,1969,1.22232,13.71181,2.66158,0.0,0.0, ,0.0, ,0.0,0.0,10.64466,56.06555,5.26153,82.90238,86.36126,413.19,20.85119,259.04,19.29769,28782.68,86.75702,19.93194,26.45651,13.77159,29.45064,6.99861,52.15425,62.76881,5.896742,16.54616,0.0,8.89822,12.43115,10.02341,0.0,15.68023,0.0,87151573.0,0.0,0.0,ANSS,16.25611,19.4117,443231.0,443230.0,10971220.0
ANTM,Anthem,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25,0001156039,2014 (1946),1.04837,8.92936,0.0,0.0,4.52,2021-06-09 00:00:00.000,1.13,2021-06-25 00:00:00.000,1.14,0.0,1.14725,12.9641,18.68744,0.0,0.0,406.0,12.33333,244.1,66.56426,96976.48,243.2067,5.14744,3.7857,7.31203,5.70504,2.8712,16.48699,21.19498,18.474596,0.77846,0.0,5.29644,14.38379,0.0,1.96788,14.01402,0.0,244840654.0,0.0,0.0,ANTM,40.653,68.63203,885002.0,885000.0,25860950.0
AON,Aon plc,reports,Financials,Insurance Brokers,"London, United Kingdom",1996-04-23,0000315293,1982 (1919),0.84244,0.0,1.12376,0.0,2.04,2021-04-30 00:00:00.000,0.51,2021-05-14 00:00:00.000,0.81,0.0,31.61112,21.42502,9.14692,0.0,0.0,260.97,15.2381,177.21,171.9953,57131.9,223.4066,26.46809,18.97643,35.31915,26.25747,13.44509,22.7255,27.68254,0.875722,5.02391,0.0,6.91035,56.75057,15.2342,18.88702,2.55208,0.0,225647250.0,0.0,0.0,AON,62.68823,171.9953,1631904.0,1631900.0,36203500.0
AOS,A.O. Smith Corp,reports,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,0000091142,1916,1.03867,5.59895,1.86365,0.0,1.04,2021-04-29 00:00:00.000,0.26,2021-05-17 00:00:00.000,1.5,0.0,19.6884,89.10454,2.40375,37.52926,38.22752,73.05,127.1,41.9,5.3867,11114.8,133.2682,12.70481,12.91207,16.39792,16.59179,6.4311,23.63343,28.81747,1.463678,3.6714,1.48953,12.83786,22.56082,17.16506,0.0,5.06698,0.0,134466854.0,0.0,0.0,AOS,5.44134,5.75446,1116948.0,1116950.0,24891270.0
APA,APA Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,0000006769,1954,4.91344,0.0,1.75262,0.0,0.1,2021-04-21 00:00:00.000,0.025,2021-05-21 00:00:00.000,0.48,0.0,100.0873,108.6379,0.01847,59.48691,63.30109,23.85,0.0,7.445,0.0,7895.853,376.8554,24.05131,3.38573,27.3116,12.69649,0.0,4.60131,1131.023,11.300365,1.59126,1.37743,1.26706,0.0,1.6832,53.48646,0.0,0.0,377972835.0,0.0,0.0,APA,96.20267,0.0,6671240.0,6671240.0,168574830.0
